,index,0
357,103293, Эналаприл таб.мг № 
358,112673, Офтан тимолол капли глазн .% фл мл N 
359,68733, Пантенол аэроз фл мл N 
360,100293, Долгит крем % туба г N -
361,73742, Гидреа капс.мг N 
362,54642, Борная кислота пор г уп N 
363,51358," Отривин спрей наз. доз. , % фл. с дозат.  мл. "
364,148082, Салициловая кислота р-р спирт % фл мл N 
365,137662, Пирацетам тб п/о мг N 
366,35594, Йода р-р спирт % фл мл N 
367,72495, Бисептол таб мг № 
368,80166, Вольтарен пластырь трансдермальный мг № пакет 
369,32331, Перекись водорода р-р наружн. % фл.полимерн. мл 
370,163608, Фурадонин Авексима таб.мг № 
371,32834, Омез капс мг N 
372,84342, Беродуал Н аэроз. д/ингал. доз.  доз бал. аэроз.  мл. 
373,51013, Ортофен тб п/о мг N 
374,132006, Перекись водорода р-р наружн. % фл. мл 
375,135114, Алмагель А сусп фл мл N 
376,31625, Мексидол р-р д/в/в и в/м введ. мг/мл амп. мл № 
377,26444, фл мл 
378,101270, Укроп пахучий [плоды коробка г] N КЛС 
379,75972," Риностоп спрей наз. ,% фл. мл "
380,112025, Метилурациловая мазь % г N 
381,38248, Цераксон р-р д/приема внутрь  мг/мл пак.мл № 
382,76608, Лейкопластырь бактерицидный хсм № 
383,110741, 
384,123304, Дипроспан сусп.д/и амп мл N 
385,62182, Ацикловир-Акрихин тб мг N 
386,23322, Нью Лайф Бинт марл мед н/стер м х см уп N/СТМ 
387,89311, Вамлосет таб.п.п.о.мг+мг № 
388,91318," Индапамид таб.п.п.о.,мг № "
389,120466, Метрогил Дента гель д/десен г 
390,149071, Мексидол табл. п.о.  мг № 
391,136020, PL Пустырник драже № 
392,163955, Конкор таб.п.п.о.мг № 
393,155453," Мастер Юни Лейкопластырь бактерицидный неткан. ,х,см № "
394,349829, PL Бинт марл мед стер ГОСТ м х см уп № 
395,34029, Оксолиновая мазь .% г N 
396,156491, Омепразол-Акрихин капс.кишечнораст.мг № 
397,68465, Дексаметазон капли глазн .% фл мл N 
398,152183, Диклофенак тб мг N 
399,53271, ф/п гр. № КЛС 
400,117540, Прополиса настойка жидк.фл.мл № 
401,64179, Слабилен таб.п.п.о мг № 
402,115324," Валидол табл. сублингв. , гр. № -"
403,28878," Стики Пластырь бактерицидный влагостойкий ,х,см № "
404,41890, Кагоцел таб.мг № 
405,92218, Атенолол таб.мг N Renewal 
406,47666," Тизин Классик/Ксило спрей наз. ,% фл. мл "
407,156355, PL Гематоген витаминизированный г 
408,109860, Фукорцин р-р наружн фл мл N 
409,350488, Ренитек таб мг № 
410,153716, Бетагистин таб.мг № 
411,134896, Рибоксин тб мг N 
412,31743," Валидол табл. сублингв. , гр. № "
413,111385, Глюкофаж таб.п.п.о.мг № 
414,53291, Камфорный спирт % р-р фл мл N 
415,155971, PL Маска медицинская № 
416,120316, Эуфиллин таб.мг № 
417,116291, Анальгин таб.мг № 
418,54206, Камфорный спирт % р-р фл мл N 
